Latitude,Longitude,BranchName,LogoUrl,BranchId,ManagerName,Phone,Hours/0/Day,Hours/0/Open,Hours/0/Close,Hours/1/Day,Hours/1/Open,Hours/1/Close,Hours/2/Day,Hours/2/Open,Hours/2/Close,Hours/3/Day,Hours/3/Open,Hours/3/Close,Hours/4/Day,Hours/4/Open,Hours/4/Close,Hours/5/Day,Hours/5/Open,Hours/5/Close,Hours/6/Day,Hours/6/Open,Hours/6/Close,City,NetworkId,NetworkName,Address,Logos/0,Departments/4,Logos/1,Departments/1,Departments/9,Logos/2,Logos/3,Departments/7,Logos/4,Logos/5,Logos/6,Logos/7,Logos/8,Departments/8,Departments/10,Departments/12,Departments/13,Departments/14,Departments/15,Departments/17,Departments/19
32.0814329,34.7706953,"שלי ת""א- בן יהודה",/umbracoContent/Images/Branches/NetworkLogos/1.png,1,אלברט חזן,03-5229121,א,7:00,23:00,ב,7:00,23:00,ג,7:00,23:00,ד,7:00,24:00,ה,7:00,24:00,ו,7:00,14:30,ש,18:45,23:00,תל אביב,1,שופרסל שלי,79 בן יהודה,,,,,,,,,,,,,,,,,,,,,
31.775431,35.217455,שלי ירושלים- אגרון,/umbracoContent/Images/Branches/NetworkLogos/1.png,2,אלי חננאל,02-6252947,א,8:00,22:00,ב,8:00,22:00,ג,8:00,22:00,ד,8:00,22:00,ה,8:00,23:00,ו,7:00,14:30,ש,18:45,22:00,ירושלים,1,שופרסל שלי,1 אגרון,,,,,,,,,,,,,,,,,,,,,
32.078204,34.815239,שלי גבעתיים- סירקין,/umbracoContent/Images/Branches/NetworkLogos/1.png,3,סיגלית גלוסקא,03-6723221,א,7:00,20:00,ב,7:00,20:00,ג,7:00,20:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,גבעתיים,1,שופרסל שלי,17 סירקין,,,,,,,,,,,,,,,,,,,,,
32.804296,34.987142,שלי חיפה- כרמל,/umbracoContent/Images/Branches/NetworkLogos/1.png,4,לילך חונן,04-8385238,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,חיפה,1,שופרסל שלי,שד' הנשיא 124 מר,,,,,,,,,,,,,,,,,,,,,
31.7605531,35.1782886,שלי ירושלים- יובל,/umbracoContent/Images/Branches/NetworkLogos/1.png,5,מחמד עביד,02-6413389,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,22:00,ה,7:00,22:00,ו,7:00,14:30,,,,ירושלים,1,שופרסל שלי,3 אורוגאי,,,,,,,,,,,,,,,,,,,,,
32.086017,34.778785,"שלי ת""א- ארלוזורוב",/umbracoContent/Images/Branches/NetworkLogos/1.png,7,אסף קריבינסקי,03-5227757,א,7:00,22:00,ב,7:00,22:00,ג,7:00,22:00,ד,7:00,23:00,ה,7:00,23:00,ו,7:00,14:30,ש,18:45,22:00,תל אביב,1,שופרסל שלי,53 ארלוזרוב,,,,,,,,,,,,,,,,,,,,,
32.331400,34.858795,שלי נתניה- ויצמן,/umbracoContent/Images/Branches/NetworkLogos/1.png,9,ליאור וייס,09-8824911,א,7:00,20:30,ב,7:00,20:30,ג,7:00,20:30,ד,7:00,20:30,ה,7:00,21:00,ו,7:00,14:30,ש,18:45,22:00,נתניה,1,שופרסל שלי,27 שד' ויצמן,,,,,,,,,,,,,,,,,,,,,
32.0915591,34.7847613,"שלי ת""א- נורדאו",/umbracoContent/Images/Branches/NetworkLogos/1.png,11,גיא צוברי,03-6045565,א,7:00,22:00,ב,7:00,22:00,ג,7:00,22:00,ד,7:00,22:00,ה,7:00,22:00,ו,7:00,14:30,,,,תל אביב,1,שופרסל שלי,157 אבן גבירול,,,,,,,,,,,,,,,,,,,,,
32.820323,34.958610,יש בני ברק- ירושלים,/umbracoContent/Images/Branches/NetworkLogos/6.png,12,חיים יעקב אינדיג,03-6187175,א,7:30,22:00,ב,7:30,22:00,ג,7:30,22:00,ד,7:30,23:00,ה,7:30,23:00,ו,7:30,15:00,,,,בני ברק,6,יש,70  ירושלים,,,,,,,,,,,,,,,,,,,,,
31.755316,34.989846,דיל בית שמש- העליה,/umbracoContent/Images/Branches/NetworkLogos/2.png,13,עוז גוליאן,02-9915219,א,8:00,22:00,ב,8:00,22:00,ג,8:00,22:00,ד,8:00,22:00,ה,8:00,24:00,ו,7:00,14:30,ש,18:45,22:00,בית שמש,2,שופרסל דיל,1 העליה,,,,,,,,,,,,,,,,,,,,,
32.086639,34.987013,"יש פ""ת- רוטשילד",/umbracoContent/Images/Branches/NetworkLogos/6.png,15,מנחם מענדל מייזליש,03-9313581,א,7:00,22:00,ב,7:00,22:00,ג,7:00,22:00,ד,7:00,23:00,ה,7:00,23:00,ו,7:00,15:00,ש,21:00,23:00,פתח תקווה,6,יש,79 רוטשילד,,,,,,,,,,,,,,,,,,,,,
32.7844353,34.9895315,שלי חיפה- חורב,/umbracoContent/Images/Branches/NetworkLogos/1.png,17,ערן שפיצר,04-8246745,א,7:00,22:00,ב,7:00,22:00,ג,7:00,22:00,ד,7:00,22:00,ה,7:00,22:00,ו,7:00,14:30,ש,18:45,22:30,חיפה,1,שופרסל שלי,15 מרכז חורב,,,,,,,,,,,,,,,,,,,,,
32.008056,34.791036,דיל חולון-קרן היסוד,/umbracoContent/Images/Branches/NetworkLogos/2.png,18,לריסה דרוזנס,03-5500995,א,7:00,20:00,ב,7:00,20:00,ג,7:00,20:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,חולון,2,שופרסל דיל,קרן היסוד 1 ק.שר,,,,,,,,,,,,,,,,,,,,,
32.784128,35.012946,שלי חיפה- זיו,/umbracoContent/Images/Branches/NetworkLogos/1.png,19,אלי מרדו,04-8236877,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,חיפה,1,שופרסל שלי,67 כצנלסון,/umbracoContent/Images/Branches/DepartmentsLogos/4.png,גרין,,,,,,,,,,,,,,,,,,,
31.898980,34.810211,שלי רחובות- הרצל,/umbracoContent/Images/Branches/NetworkLogos/1.png,20,ילנה קארי,08-9463904,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,22:00,ו,7:00,14:30,,,,רחובות,1,שופרסל שלי,183 הרצל,,,,,,,,,,,,,,,,,,,,,
31.8012849,35.2281633,יש ירושלים מרים-פארן,/umbracoContent/Images/Branches/NetworkLogos/6.png,21,חיים יהושע פוקסמן,02-5814166,א,7:30,22:00,ב,7:30,22:00,ג,7:30,22:00,ד,7:30,23:00,ה,7:30,23:00,ו,7:00,15:00,ש,21:00,23:00,ירושלים,6,יש,פארן 7 רמת אשכול,,,,,,,,,,,,,,,,,,,,,
32.3272194,34.8550823,שלי נתניה- סמילנסקי,/umbracoContent/Images/Branches/NetworkLogos/1.png,22,סמאהר ורקאני,09-8820745,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,נתניה,1,שופרסל שלי,13 סמילנסקי,,,,,,,,,,,,,,,,,,,,,
31.327776,34.938759,שלי מיתר,/umbracoContent/Images/Branches/NetworkLogos/1.png,23,זוהרה מלכה,08-6510216/7,א,6:30,20:30,ב,6:30,20:30,ג,6:30,20:30,ד,6:30,21:00,ה,6:30,21:30,ו,6:30,14:30,,,,מיתר,1,שופרסל שלי,1 המיישבים,,,,,,,,,,,,,,,,,,,,,
31.7834068,34.6471994,שלי אשדוד- הנביאים,/umbracoContent/Images/Branches/NetworkLogos/1.png,24,ילנה קוגן,08-8649673,א,7:00,20:00,ב,7:00,20:00,ג,7:00,20:00,ד,7:00,20:30,ה,7:00,20:00,ו,7:00,14:30,,,,אשדוד,1,שופרסל שלי,3 אברהם סופר,,,,,,,,,,,,,,,,,,,,,
32.179312,34.878137,שלי רעננה- אחוזה,/umbracoContent/Images/Branches/NetworkLogos/1.png,27,סבטלנה בן-נעים,09-7425456,א,7:30,20:00,ב,7:30,20:00,ג,7:30,20:00,ד,7:30,20:30,ה,7:30,21:00,ו,7:00,14:30,,,,רעננה,1,שופרסל שלי,82 אחוזה,,,,,,,,,,,,,,,,,,,,,
32.121329,34.834387,"שלי ת""א- צה""ל",/umbracoContent/Images/Branches/NetworkLogos/1.png,28,גלית חנניה,03-6471063,א,7:00,20:30,ב,7:00,20:30,ג,7:00,20:30,ד,7:00,20:30,ה,7:00,21:00,ו,7:00,14:30,,,,תל אביב,1,שופרסל שלי,"צה""ל 71, מרכ",,,,,,,,,,,,,,,,,,,,,
32.467067,35.041473,אקספרס חריש האודם,/umbracoContent/Images/Branches/NetworkLogos/7.png,29,תבור חאוזי,04-8545099,א,6:30,21:00,ב,6:30,21:00,ג,6:30,21:00,ד,6:30,21:00,ה,6:30,21:00,ו,6:30,15:30,,,,חריש,7,שופרסל אקספרס,5 האודם,,,,,,,,,,,,,,,,,,,,,
32.054689,34.848691,שלי רמת גן- קריניצי,/umbracoContent/Images/Branches/NetworkLogos/1.png,30,אלון קלאי,03-5348236,א,7:00,20:00,ב,7:00,20:00,ג,7:00,20:00,ד,7:00,20:00,ה,7:00,20:00,ו,7:00,14:30,,,,רמת גן,1,שופרסל שלי,9 יוסף ספיר,,,,,,,,,,,,,,,,,,,,,
31.9739491,34.8061696,שלי רמת גן- קסם,/umbracoContent/Images/Branches/NetworkLogos/1.png,32,רונן גולדנברג,03-6772397,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,22:00,ו,7:00,14:30,,,,רמת גן,1,שופרסל שלי,90 הירדן,,,,,,,,,,,,,,,,,,,,,
32.81992,34.972951,שלי חיפה- סטלה,/umbracoContent/Images/Branches/NetworkLogos/1.png,33,אברהם קדרון,04-8339722,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,חיפה,1,שופרסל שלי,35/טשרניחובסקי,,,,,,,,,,,,,,,,,,,,,
32.143601,34.83703,שלי רמת השרון- סוקולוב,/umbracoContent/Images/Branches/NetworkLogos/1.png,34,סאמר חאג' יחיא,03-5490829,א,7:00,22:00,ב,7:00,22:00,ג,7:00,22:00,ד,7:00,22:00,ה,7:00,22:00,ו,7:00,14:30,,,,רמת השרון,1,שופרסל שלי,48 סוקולוב,,,,,,,,,,,,,,,,,,,,,
31.245611,34.797456,דיל באר-שבע וולפסון,/umbracoContent/Images/Branches/NetworkLogos/2.png,35,אבי אשכנזי,08-6282404,א,8:00,21:00,ב,8:00,21:00,ג,8:00,21:00,ד,8:00,22:00,ה,8:00,23:00,ו,8:00,14:30,ש,18:45,22:00,באר שבע,2,שופרסל דיל,13 רח' וולפסון,,,,,,,,,,,,,,,,,,,,,
32.175759,34.907778,"שלי כ""ס- רוטשילד",/umbracoContent/Images/Branches/NetworkLogos/1.png,36,אורי ברנס,09-7675323,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,כפר סבא,1,שופרסל שלי,65 רוטשילד,,,,,,,,,,,,,,,,,,,,,
31.250932,34.779518,"שלי ב""ש- יעלים",/umbracoContent/Images/Branches/NetworkLogos/1.png,37,רחל אליצור,08-6439646,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,באר שבע,1,שופרסל שלי,34 יעלים,,,,,,,,,,,,,,,,,,,,,
32.76859,35.003579,שלי חיפה- דניה,/umbracoContent/Images/Branches/NetworkLogos/1.png,38,יוליה קובבקו,04-8348677,א,7:00,20:30,ב,7:00,20:30,ג,7:00,20:30,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,חיפה,1,שופרסל שלי,ליבריה 2 דניה,,,,,,,,,,,,,,,,,,,,,
32.111553,34.7941933,"שלי ת""א- ברזיל",/umbracoContent/Images/Branches/NetworkLogos/1.png,39,מנחם גאזלה,03-6410585,א,7:00,22:30,ב,7:00,22:30,ג,7:00,22:30,ד,7:00,23:00,ה,7:00,23:00,ו,7:00,14:30,ש,18:45,23:00,תל אביב,1,שופרסל שלי,15 ברזיל,,,,,,,,,,,,,,,,,,,,,
31.264451,34.846852,"שלי ב""ש- עומר",/umbracoContent/Images/Branches/NetworkLogos/1.png,40,תמרה כיטיבשוילי,086460460,א,6:30,20:00,ב,6:30,20:00,ג,6:30,20:00,ד,6:30,20:00,ה,6:30,20:00,ו,6:30,14:30,,,,באר שבע,1,שופרסל שלי,"רותם 1,מ מסחרי ע",,,,,,,,,,,,,,,,,,,,,
31.767676,35.202277,שלי ירושלים- ניות,/umbracoContent/Images/Branches/NetworkLogos/1.png,42,אלדד אייגר,02-6792703,א,7:00,22:00,ב,7:00,22:00,ג,7:00,22:00,ד,7:00,22:00,ה,7:00,23:00,ו,7:00,14:30,,,,ירושלים,1,שופרסל שלי,1 יהודה בורלא,,,,,,,,,,,,,,,,,,,,,
32.155553,34.891516,שלי הוד השרון- הבנים,/umbracoContent/Images/Branches/NetworkLogos/1.png,43,אמונה מרטון,09-7401816,א,7:00,20:00,ב,7:00,20:00,ג,7:00,20:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,הוד השרון,1,שופרסל שלי,12 הבנים,,,,,,,,,,,,,,,,,,,,,
31.753643,35.214593,דיל ירושלים- תלפיות,/umbracoContent/Images/Branches/NetworkLogos/2.png,45,מיכאל שטרית,02-6783278,א,8:00,22:00,ב,8:00,22:00,ג,8:00,23:00,ד,8:00,24:00,ה,8:00,24:00,ו,7:00,14:30,ש,18:45,23:00,ירושלים,2,שופרסל דיל,35 פייר קניג,,,,,,,,,,,,,,,,,,,,,
31.2726540,34.8105380,"דיל ב""ש- הר בוקר",/umbracoContent/Images/Branches/NetworkLogos/2.png,49,מנחם לוי,08-6499004/5,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,באר שבע,2,שופרסל דיל,5  הר בוקר,,,,,,,,,,,,,,,,,,,,,
31.804702,35.155357,שלי מבשרת ציון,/umbracoContent/Images/Branches/NetworkLogos/1.png,50,איאד רשק,02-5341231,א,7:00,20:00,ב,7:00,20:00,ג,7:00,20:00,ד,7:00,21:00,ה,7:00,22:00,ו,7:00,14:30,,,,מבשרת ציון,1,שופרסל שלי,75 השלום,,,,,,,,,,,,,,,,,,,,,
32.4547996,35.0426615,אקספרס חריש הרימון,/umbracoContent/Images/Branches/NetworkLogos/7.png,56,אלדד קילברט,04-8876167,א,6:30,21:00,ב,6:30,21:00,ג,6:30,21:00,ד,6:30,21:00,ה,6:30,21:00,ו,6:30,15:30,,,,חריש,7,שופרסל אקספרס,47 אורן,,,,,,,,,,,,,,,,,,,,,
32.138053,34.840726,שלי רמת השרון- אוסישקין,/umbracoContent/Images/Branches/NetworkLogos/1.png,57,מנשה יצחק,03-5402424,א,7:00,22:00,ב,7:00,22:00,ג,7:00,22:00,ד,7:00,22:00,ה,7:00,22:30,ו,7:00,14:30,,,,רמת השרון,1,שופרסל שלי,5 אוסישקין,,,,,,,,,,,,,,,,,,,,,
32.3000905,34.9112341,אקספרס צור משה,/umbracoContent/Images/Branches/NetworkLogos/7.png,61,קובי מור,099784676,א,6:30,21:00,ב,6:30,21:00,ג,6:30,21:00,ד,6:30,21:00,ה,6:30,21:00,ו,6:30,15:30,,,,צור משה,7,שופרסל אקספרס,17 הערבה,,,,,,,,,,,,,,,,,,,,,
31.2540557,34.8149347,"דיל ב""ש- צ'ורלי",/umbracoContent/Images/Branches/NetworkLogos/2.png,65,גורגט בן זקן,08-6280531,א,7:30,22:00,ב,7:30,22:00,ג,7:30,22:00,ד,7:30,22:00,ה,7:30,23:00,ו,7:30,14:30,ש,18:45,22:00,באר שבע,2,שופרסל דיל,1 רח' האורגים,,,,,,,,,,,,,,,,,,,,,
32.077652,34.8444174,שלי גבעת שמואל-בן גוריון,/umbracoContent/Images/Branches/NetworkLogos/1.png,67,יוסף בכר,03-5323093,א,7:00,20:00,ב,7:00,20:00,ג,7:00,20:00,ד,7:00,20:30,ה,7:00,21:00,ו,7:00,14:30,,,,גבעת שמואל,1,שופרסל שלי,18 בן-גוריון,,,,,,,,,,,,,,,,,,,,,
32.858799,35.092843,דיל כורדני,/umbracoContent/Images/Branches/NetworkLogos/2.png,68,מיכה שמלאשוילי,04-6606673,א,8:00,22:00,ב,8:00,22:00,ג,8:00,22:00,ד,8:00,22:00,ה,8:00,23:00,ו,7:30,14:30,,,,קרית מוצקין,2,שופרסל דיל,1 שד' ירושלים,/umbracoContent/Images/Branches/DepartmentsLogos/1.png,,/umbracoContent/Images/Branches/DepartmentsLogos/logos_default.png,מכבדים תווי קניה,גישה נגישה,,,,,,,,,,,,,,,,
32.117274,34.796662,"שלי ת""א- רמת אביב ב",/umbracoContent/Images/Branches/NetworkLogos/1.png,69,גילה ריזייב,03-6426007,א,7:00,22:00,ב,7:00,22:00,ג,7:00,22:00,ד,7:00,22:00,ה,7:00,23:00,ו,7:00,14:30,,,,תל אביב,1,שופרסל שלי,38 טאגור,,,,,,,,,,,,,,,,,,,,,
32.0725979,34.8308723,שלי רמת גן- מרום נווה,/umbracoContent/Images/Branches/NetworkLogos/1.png,70,מנשה ונגר,03-6779210,א,7:00,22:00,ב,7:00,22:00,ג,7:00,22:00,ד,7:00,22:00,ה,7:00,24:00,ו,6:00,14:30,ש,18:45,23:00,רמת גן,1,שופרסל שלי,"תרצה 19 ר""ג",,,,,,,,,,,,,,,,,,,,,
32.7780814,35.0410251,דיל אקסטרה תל חנן  נשר,/umbracoContent/Images/Branches/NetworkLogos/4.gif,71,אליהו קבסה,04-8209400,א,9:00,22:00,ב,9:00,22:00,ג,9:00,22:00,ד,9:00,23:00,ה,9:00,24:00,ו,8:00,14:30,ש,18:45,22:30,נשר,4,שופרסל דיל אקסטרה,147 ר יהודה.,,,,,,,,,,,,,,,,,,,,,
31.886592,35.01739,שלי מודיעין רעות,/umbracoContent/Images/Branches/NetworkLogos/1.png,72,חגי רון,08-9263867,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,22:00,ו,7:00,14:30,,,,מודיעין,1,שופרסל שלי,שד' עומרים מ.מסח,,,,,,,,,,,,,,,,,,,,,
32.322861,34.870534,דיל נתניה- הדרים,/umbracoContent/Images/Branches/NetworkLogos/2.png,74,חנניה יוחנן,09-8628464,א,7:00,22:00,ב,7:00,22:00,ג,7:00,22:00,ד,7:00,23:00,ה,7:00,23:00,ו,6:30,14:30,ש,18:45,22:00,נתניה,2,שופרסל דיל,2 הקדר,,,,,,,,,,,,,,,,,,,,,
32.1023336,35.2086928,דיל אריאל,/umbracoContent/Images/Branches/NetworkLogos/2.png,76,פרנק בן סיניור,03-7566458,א,8:00,21:00,ב,8:00,21:00,ג,8:00,21:00,ד,8:00,22:00,ה,8:00,22:00,ו,7:00,14:30,ש,18:45,22:00,אריאל,2,שופרסל דיל,2 רח מוריה,,,,,,,,,,,,,,,,,,,,,
32.470801,35.03907,דיל חריש,/umbracoContent/Images/Branches/NetworkLogos/2.png,77,שלומי גואז,04-8579330,א,8:00,21:00,ב,8:00,21:00,ג,8:00,21:00,ד,8:00,22:00,ה,8:00,22:00,ו,7:00,14:30,ש,18:45,22:00,חריש,2,שופרסל דיל,2 רח' דרך ארץ,,,,,,,,,,,,,,,,,,,,,
31.785401,35.173289,יש הר נוף ירושלים-שאולזו,/umbracoContent/Images/Branches/NetworkLogos/6.png,78,ישראל רייס,02-6524536,א,7:30,22:00,ב,7:30,22:00,ג,7:30,22:00,ד,7:30,23:00,ה,7:30,23:00,ו,7:30,15:00,,,,ירושלים,6,יש,56 שאולזון,,,,,,,,,,,,,,,,,,,,,
32.4624477,35.0492064,אקספרס חריש,/umbracoContent/Images/Branches/NetworkLogos/7.png,79,חאוזי מרון,04-9033604,א,6:30,21:00,ב,6:30,21:00,ג,6:30,21:00,ד,6:30,21:00,ה,6:30,21:00,ו,6:00,15:30,,,,חריש,7,שופרסל אקספרס,3 טורקיז,,,,,,,,,,,,,,,,,,,,,
31.961626,34.817311,"שלי ראשל""צ- נווה הדרים",/umbracoContent/Images/Branches/NetworkLogos/1.png,80,מרדכי מור סנדרס,03-9671580,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,21:30,ו,6:30,14:30,,,,ראשון לציון,1,שופרסל שלי,2 ברנשטיין,,,,,,,,,,,,,,,,,,,,,
32.0114571,34.7880585,אקספרס חולון,/umbracoContent/Images/Branches/NetworkLogos/7.png,82,משה דוידוב,037754292,א,6:30,20:30,ב,6:30,20:30,ג,6:30,20:30,ד,6:30,20:30,ה,6:30,20:30,ו,6:30,15:30,,,,חולון,7,שופרסל אקספרס,2 שמריהו לוין,,,,,,,,,,,,,,,,,,,,,
31.257398,34.76719,"דיל ב""ש- שאול המלך",/umbracoContent/Images/Branches/NetworkLogos/2.png,83,בת שבע אוחיון,086437108/87,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,21:00,ו,7:00,14:30,,,,באר שבע,2,שופרסל דיל,קניון שאול המלך,,,,,,,,,,,,,,,,,,,,,
31.8897867,34.9192773,אקספרס בית חשמונאי,/umbracoContent/Images/Branches/NetworkLogos/7.png,84,דודי אוחיון,089323151,א,7:00,21:00,ב,7:00,21:00,ג,7:00,21:00,ד,7:00,21:00,ה,7:00,21:00,ו,6:30,15:30,,,,בית חשמונאי,7,שופרסל אקספרס,1 דרך יונתן,,,,,,,,,,,,,,,,,,,,,
32.193247,34.880094,דיל רעננה- החרושת,/umbracoContent/Images/Branches/NetworkLogos/2.png,87,מיכאל מורדכוביץ,09-7434774,א,8:00,22:00,ב,8:00,22:00,ג,8:00,23:00,ד,8:00,23:00,ה,8:00,24:00,ו,7:00,14:30,ש,18:45,22:30,רעננה,2,שופרסל דיל,8 החרושת,,,,,,,,,,,,,,,,,,,,,
31.925905,34.864447,דיל עזריאלי - רמלה,/umbracoContent/Images/Branches/NetworkLogos/2.png,89, ,08-8560598,א,8:00,21:00,ב,8:00,21:00,ג,8:00,21:00,ד,8:00,22:00,ה,8:00,22:00,ו,7:00,14:30,ש,18:45,22:00,רמלה,2,שופרסל דיל,23 שמשון הגיבור,,,,,,,,,,,,,,,,,,,,,
31.2631745,34.8131896,אקספרס גב ים באר שבע,/umbracoContent/Images/Branches/NetworkLogos/7.png,90,תומר מגדינו,08 6154334,א,7:00,20:30,ב,7:00,20:30,ג,7:00,20:30,ד,7:00,20:30,ה,7:00,20:30,ו,6:30,15:30,,,,באר שבע,7,שופרסל אקספרס,77 אנרגיה,,,,,,,,,,,,,,,,,,,,,
